,Month,Average Entrants
0,December 2018,79.48226950354609
1,January 2019,77.98845598845598
2,February 2019,71.64402173913044
3,March 2019,66.76062176165803
4,April 2019,63.59927360774818
5,May 2019,66.75
6,June 2019,65.94110275689223
7,July 2019,64.92005813953489
8,August 2019,72.9502688172043
9,September 2019,61.034974093264246
10,October 2019,59.674091441969516
11,November 2019,60.51807228915663
12,December 2019,60.75639097744361
13,January 2020,66.55302166476625
14,February 2020,64.13896218117854
15,March 2020,68.73738680465718
16,April 2020,97.45020463847203
17,May 2020,86.14241164241164
18,June 2020,46.165233415233416
19,July 2020,42.08405603735824
20,August 2020,42.80992229527794
21,September 2020,39.46143527833669
22,October 2020,39.01204819277108
23,November 2020,43.69778117827085
24,December 2020,46.286878565607175
25,January 2021,46.653333333333336
26,February 2021,42.62378303198887
27,March 2021,42.20743405275779
28,April 2021,41.859299516908216
29,May 2021,39.9684829059829
30,June 2021,36.42458100558659
31,July 2021,33.765787370103915
32,August 2021,31.749802994483847
33,September 2021,29.938587512794268
34,October 2021,28.68092841163311
35,November 2021,28.855283545088316
36,December 2021,27.94884063305116
37,January 2022,29.80515638207946
38,February 2022,27.97216
39,March 2022,27.470397404703974
40,April 2022,28.176707839677338
41,May 2022,28.239552834708544
42,June 2022,28.225609756097562
43,July 2022,28.525122391136303
44,August 2022,27.590402969247084
45,September 2022,25.917353479853478
46,October 2022,24.965923432898613
47,November 2022,23.24335863377609
48,December 2022,23.7170935080405
49,January 2023,25.88002020712301
50,February 2023,24.62714932126697
51,March 2023,24.913008457511076
52,April 2023,24.903660498793244
53,May 2023,24.866277712952158
54,June 2023,24.75258973741267
55,July 2023,24.872833723653397
56,August 2023,24.940994527718296
57,September 2023,24.350282485875706
58,October 2023,23.478484011054086
59,November 2023,21.997765085671716
