,Character,Games Reported
0,Joker,426827
1,Cloud,411478
2,Bowser,387106
3,Palutena,381751
4,Ness,378329
5,Wolf,361643
6,R.O.B.,353690
7,Snake,328370
8,Pokemon Trainer,321963
9,Yoshi,319692
10,Captain Falcon,302445
11,Pyra/Mythra,301747
12,Terry,293317
13,Steve,288809
14,Mario,284495
15,Donkey Kong,276602
16,Inkling,276493
17,King K. Rool,259172
18,Luigi,258304
19,Sonic,257734
20,Link,246360
21,King Dedede,244393
22,Falco,233844
23,Roy,232051
24,Mr. Game & Watch,230550
25,Samus,229600
26,Pikachu,228860
27,Lucina,228090
28,Jigglypuff,222527
29,Pac-Man,209834
30,Byleth,209252
31,Incineroar,205550
32,Zelda,200733
33,Ike,200470
34,Hero,196564
35,Little Mac,195322
36,Ganondorf,193837
37,Min-Min,192360
38,Fox,187111
39,Kazuya,186962
40,Sephiroth,184634
41,Greninja,180801
42,Zero Suit Samus,179600
43,Banjo & Kazooie,177986
44,Lucas,177073
45,Young Link,176918
46,Bayonetta,176645
47,Wii Fit Trainer,163670
48,Diddy Kong,161509
49,Kirby,158433
50,Sora,151537
51,Random,150323
52,Ridley,144418
53,Robin,139872
54,Wario,136657
55,Piranha Plant,132614
56,Bowser Jr.,126399
57,Toon Link,125420
58,Ken,124902
59,Shulk,114427
60,Isabelle,112085
61,Mega Man,110141
62,Corrin,109953
63,Mii Brawler,106138
64,Dr. Mario,103409
65,Chrom,102950
66,Peach,100153
67,Pichu,94771
68,Mewtwo,94154
69,Duck Hunt,90892
70,Dark Samus,89365
71,Dark Pit,89009
72,Marth,86945
73,Richter,79906
74,Meta Knight,78994
75,Ice Climbers,74479
76,Lucario,73164
77,Villager,70808
78,Mii Gunner,70758
79,Ryu,69587
80,Mii Sword Fighter,67528
81,Sheik,64163
82,Rosalina,62115
83,Pit,61154
84,Olimar,55701
85,Daisy,41662
86,Simon,35075
