,Month,Total Number of Entrants
0,December 2018,33621
1,January 2019,54046
2,February 2019,52730
3,March 2019,64424
4,April 2019,52533
5,May 2019,51798
6,June 2019,52621
7,July 2019,44665
8,August 2019,54275
9,September 2019,47119
10,October 2019,50902
11,November 2019,50230
12,December 2019,40403
13,January 2020,58367
14,February 2020,72926
15,March 2020,53134
16,April 2020,71431
17,May 2020,82869
18,June 2020,75157
19,July 2020,63084
20,August 2020,71621
21,September 2020,58837
22,October 2020,58284
23,November 2020,57113
24,December 2020,56794
25,January 2021,66481
26,February 2021,61293
27,March 2021,70402
28,April 2021,69319
29,May 2021,74821
30,June 2021,71720
31,July 2021,84482
32,August 2021,80581
33,September 2021,87750
34,October 2021,102563
35,November 2021,93116
36,December 2021,75937
37,January 2022,70519
38,February 2022,87413
39,March 2022,101613
40,April 2022,111777
41,May 2022,106096
42,June 2022,106467
43,July 2022,110706
44,August 2022,104071
45,September 2022,113207
46,October 2022,118688
47,November 2022,97994
48,December 2022,79642
49,January 2023,102459
50,February 2023,108852
51,March 2023,123718
52,April 2023,123821
53,May 2023,106552
54,June 2023,102748
55,July 2023,106207
56,August 2023,104827
57,September 2023,120680
58,October 2023,118942
59,November 2023,88585
